group,policy_id,title,risk_count,risk_reasons,old_amount_manwon,old_amount_type,old_roi_apply_method,new_selected_amount_manwon,new_selected_type,new_roi_apply_method,new_support_ratio,old_actual,old_basis,new_selected_evidence
unknown_or_support_ratio,PBLN_000000000121426,[대구] 2026년 BIT융합캠퍼스(의료ㆍ헬스ㆍ바이오) 지원사업 기업 모집 공고,4,max_amount_type=support_ratio | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,7500.0,support_ratio,ratio_cap,,,,1.0,최대 100% 지원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 기술개발, 시험인증, 판로수출",
unknown_or_support_ratio,PBLN_000000000122333,2026년 SDV 전장부품 보안 평가센터 기업지원사업 수혜기업 모집 공고,4,max_amount_type=support_ratio | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,2000.0,support_ratio,ratio_cap,,,,0.1,최대 10% 지원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 기술개발, 시험인증, 판로수출",
unknown_or_support_ratio,PBLN_000000000122589,2026년 제조산업 공정작업용 로봇 엔드이펙터 실증 기반 구축 사업 지원 기업 모집 공고,4,max_amount_type=support_ratio | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,1148.0,support_ratio,ratio_cap,,,,0.3,최대 30% 지원,"금액 판단: 금액 미기재 / 지원 방식: 컨설팅멘토링, 기술개발, 시험인증",
unknown_or_support_ratio,PBLN_000000000119976,2026년 해양 연구 시설ㆍ장비 사용료 지원사업 모집 공고,4,max_amount_type=support_ratio | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,1000.0,support_ratio,ratio_cap,,,,1.0,최대 100% 지원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 공동장비, 기술개발, 시험인증, 판로수출",
subtract_over_1billion,PBLN_000000000122359,[경북] 2026년 지역특화형(고도화) 스마트공장 구축사업 공고,5,"subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 대표 금액 20% 이상 차이: 기존 6.374e+07만원, 새 20000만원",63740000.0,support_amount,subtract,20000.0,support_amount,subtract,0.5,최대 6374억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 판로수출, 스마트공장","수준) 1억 * 2회차 동일수준 지원은 1회차 고도화 사업 완료(성공 판정) 이후 지원 가능지원유형지원기간정부 지원한도지원 비율구축목표수준※고도화최대 9개월최대 2억원 이내(단, 수준별 2.5억원 한도)50% 이내중간1 이상목표설정필수고도화(동일수준)※ 구축목표수준은 KS X 9001-1(스마트공장 기본개념과 구조) 표준 기준 - 2 - -단,공고일 전에 스마트공장 구축사업을 통"
subtract_over_1billion,PBLN_000000000120780,2026년 통상변화대응지원사업 참여기업 모집 공고,5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 unknown,1000000.0,support_amount,subtract,1000000.0,unknown,review,1.0,최대 100억원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 시험인증, 판로수출","향상 관련 지원 - 예산 소진 시 기준 확인 필요 - 제조 현장 생산성 향상과 경쟁력 강화 [""현금지원"", ""컨설팅멘토링"", ""시험인증"", ""판로수출""] 최대 100억원 한도), 최대 12주 이내 40MD 수행 규모 자부담(최소) 지원금(최대) 총사업비 비율 금액 비율 금액 100억 미만 0% - 100% 20백만원 20백만원 100억 이상~500억 미만 10% 2백만원 90% 1"
subtract_over_1billion,PBLN_000000000119978,[경북] 2026년 OK FTA 컨설팅 지원사업 모집 공고(경북FTA통상진흥센터),5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 unknown,15000000.0,support_amount,subtract,15000000.0,unknown,review,0.4,최대 1500억원,"금액 판단: 금액 미기재 / 지원 방식: 컨설팅멘토링, 시험인증","% □ 10% □ 20% □ 30% □ 40% 매출액 (2025년 기준) 50억 미만 50~100억 미만 100~500억 미만 500~1,000억미만 1,000~1,500억 미만 부담률 0% 10% 20% 30% 40% ⑩FTA활용 여부 □ 활용(국가 : ) □ 미활용 (활용예정 국가 : ) ⑪ 종합지원센터, 지역FTA통상진흥센터 FTA 컨설팅 수혜여부 □ 최근 2년(2024~2025"
subtract_over_1billion,PBLN_000000000123354,[부산] 2026년 도시형소공인 맞춤형 패키지 지원사업 모집 공고,5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 unknown,1200000.0,support_amount,subtract,1200000.0,unknown,review,0.8,최대 120억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 판로수출","""시험인증"", ""판로수출""] 최대 120억원 통계청장이 고시한 한국표준산업분류에 따름 소기업기준 (평균매출액) 상시근로자 기준 C. 제조업 10 식료품 제조업 120억원 이하 10명 미만 11 음료 제조업 120억원 이하 12 담배 제조업 80억원 이하 13 섬유제품 제조업 80억원 이하 14 의복, 의복 액세서리 및 모피제품 제 지원규모 : 최대 4,500,000원 (市 80%,"
subtract_over_1billion,PBLN_000000000121191,2026년 산업 분야 온실가스 국제감축사업 공고,5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 unknown,1000000.0,support_amount,subtract,1000000.0,unknown,review,0.5,최대 100억원,"금액 판단: 금액 미기재 / 지원 방식: 컨설팅멘토링, 기술개발, 시험인증, 판로수출, 에너지효율","관련 지원 - 미정 기준 확인 필요 - 제조 현장 생산성 향상과 경쟁력 강화 [""컨설팅멘토링"", ""기술개발"", ""시험인증"", ""판로수출"", ""에너지효율""] 최대 100억원 최대 50% (단, 100억원 이하) - (타당성조사지원) 설계, 방법론 검토 등 최대 90% (단, 4억원 이하) "", ""jrsdInsttNm"": ""산업통상부"", ""printFileNm"": ""2026년 산업 분야"
zero_risk,SMARTFACTORY:2025-N-0205:1,2026년 한국로봇산업진흥원 로봇활용 제조혁신 지원사업,0,,,,recommend_only,300000.0,unknown,review,0.5,,"금액 판단: 금액 미기재 / 지원 방식: 컨설팅멘토링, 시험인증, 교육, 판로수출, 스마트공장 / 주의 사항: 현금성 최대지원금으로 확정할 수 없어 공통 금액 컬럼에서 제외","업비총사업비에따라구분하여적용총사업비정산수수료1억미만1,000천원1억이상∼3억미만1,200천원3억이상∼5억미만1,400천원5억이상∼10억미만1,600천원10억이상∼30억미만1,800천원30억이상2,000천원 - 7 - 5. 추진 및 평가절차☞ 평가, 선정, 협약 등 절차는 사정에 따라 변경될 수 있음□추진절차 ① 사업공고→② 신청·접수→③ 서류심사(요건검토)→④ 1차평가(서면)중기"
zero_risk,TECHNOPARK:1752,[서천군] 2026년 시군구연고산업육성 협업프로젝트(서천군 해양바이오 인큐베이팅 사업) 3차 수혜기업 모집 공고 기간 연장 안내,0,,5000.0,non_cash,recommend_only,5000.0,non_cash,recommend_only,,조건별 기업당 최대 5천만원,"금액 판단: 비현금지원 / 금액 표현: 조건별 기업당 최대 5천만원 / 지원 방식: 기술개발, 시험인증","그램 기업당 최대 1천만원입니다. - 신청 기간은 2026-06-08 ~ 2026-07-03 23:00입니다. [""기술개발"", ""시험인증""] 조건별 기업당 최대 5천만원 기업지원 프로그램 : 기업당 최대 5천만원 금액 판단: 비현금지원 / 금액 표현: 조건별 기업당 최대 5천만원 / 지원 방식: 기술개발, 시험인증 기업지원 프로그램 : 기업당 최대 5천만원 [서천군] 2026년 시"
zero_risk,SMARTFACTORY:2026-N-0112:1,2026년 전북형 스마트 제조혁신 프로젝트 추가모집 (JS1-일반과제),0,,,,recommend_only,210000.0,unknown,review,0.8,,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 교육, 판로수출, 스마트공장 / 주의 사항: 현금성 최대지원금으로 확정할 수 없어 공통 금액 컬럼에서 제외",사업비지원금(총사업비 80% / 70%)사업기간JS1기초10.5억최대 0.4억간편자동화 최대 6개월일반과제 최대 9개월(구축기간 6개월+집중AS 3개월)JS2기초21억최대 0.8억최대 9개월(구축기간 6개월+집중AS 3개월)JS3중간12억최대 1.4억최대 12개월(구축기간 9개월+집중AS 3개월)※ 사업 기간은 최대 3개월 연장이 가능하나 협약종료 1개월 전 사업 변경 신청 필수
zero_risk,SMARTFACTORY:2026-N-0112:2,2026년 전북형 스마트 제조혁신 프로젝트 추가모집 (JS1-간편자동화과제),0,,,,recommend_only,210000.0,unknown,review,0.8,,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 교육, 판로수출, 스마트공장 / 주의 사항: 현금성 최대지원금으로 확정할 수 없어 공통 금액 컬럼에서 제외",사업비지원금(총사업비 80% / 70%)사업기간JS1기초10.5억최대 0.4억간편자동화 최대 6개월일반과제 최대 9개월(구축기간 6개월+집중AS 3개월)JS2기초21억최대 0.8억최대 9개월(구축기간 6개월+집중AS 3개월)JS3중간12억최대 1.4억최대 12개월(구축기간 9개월+집중AS 3개월)※ 사업 기간은 최대 3개월 연장이 가능하나 협약종료 1개월 전 사업 변경 신청 필수
zero_risk,SMARTFACTORY:2026-N-0106:1,(충북) 2026년 제조 AI 현장 적용 지원 사업,0,,,,recommend_only,8000.0,unknown,review,,,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 기술개발, 시험인증, 스마트공장","진천군, 음성군 내 제조기업(본사, 공장 등) 중, 공정을 보유한 융합바이오 산업 관련 중소·중견기업입니다. - 주요 지원은 AI 솔루션 개발 지원 기업당 최대 80백만원 이내, 기술·사업화 컨설팅, 디지털 전환 지원입니다. - 신청 마감일은 2026-07-08입니다. [""현금지원"", ""컨설팅멘토링"", ""기술개발"", ""시험인증"", ""스마트공장""] 금액 판단: 금액 미기재 / 지원 방"
